# r	rdf(r)
19.575 0.979448
19.605 0.979621
19.635 0.979793
19.665 0.979963
19.695 0.980131
19.725 0.980297
19.755 0.980461
19.785 0.980624
19.815 0.980785
19.845 0.980945
19.875 0.981102
19.905 0.981258
19.935 0.981412
19.965 0.981565
19.995 0.981716
20.025 0.981865
20.055 0.982013
20.085 0.982159
20.115 0.982303
20.145 0.982446
20.175 0.982587
20.205 0.982727
20.235 0.982865
20.265 0.983001
20.295 0.983136
20.325 0.983269
20.355 0.983401
20.385 0.983531
20.415 0.98366
20.445 0.983787
20.475 0.983913
20.505 0.984037
20.535 0.984159
20.565 0.984281
20.595 0.984401
20.625 0.984519
20.655 0.984636
20.685 0.984751
20.715 0.984865
20.745 0.984978
20.775 0.985089
20.805 0.985199
20.835 0.985308
20.865 0.985415
20.895 0.985521
20.925 0.985625
20.955 0.985729
20.985 0.98583
21.015 0.985931
21.045 0.98603
21.075 0.986128
21.105 0.986225
21.135 0.98632
21.165 0.986414
21.195 0.986507
21.225 0.986599
21.255 0.986689
21.285 0.986779
21.315 0.986867
21.345 0.986954
21.375 0.987039
21.405 0.987124
21.435 0.987207
21.465 0.987289
21.495 0.98737
21.525 0.98745
21.555 0.987529
21.585 0.987607
21.615 0.987684
21.645 0.987759
21.675 0.987834
21.705 0.987907
21.735 0.987979
21.765 0.988051
21.795 0.988121
21.825 0.98819
21.855 0.988258
21.885 0.988325
21.915 0.988392
21.945 0.988457
21.975 0.988521
22.005 0.988585
22.035 0.988647
22.065 0.988708
22.095 0.988769
22.125 0.988829
22.155 0.988887
22.185 0.988945
22.215 0.989002
22.245 0.989058
22.275 0.989113
22.305 0.989167
22.335 0.989221
22.365 0.989274
22.395 0.989325
22.425 0.989376
22.455 0.989427
22.485 0.989476
22.515 0.989525
22.545 0.989573
22.575 0.98962
22.605 0.989666
22.635 0.989712
22.665 0.989757
22.695 0.989801
22.725 0.989844
22.755 0.989887
22.785 0.989929
22.815 0.98997
22.845 0.990011
22.875 0.990051
22.905 0.990091
22.935 0.99013
22.965 0.990168
22.995 0.990205
23.025 0.990242
23.055 0.990279
23.085 0.990315
23.115 0.99035
23.145 0.990385
23.175 0.990419
23.205 0.990452
23.235 0.990486
23.265 0.990518
23.295 0.99055
23.325 0.990582
23.355 0.990613
23.385 0.990643
23.415 0.990674
23.445 0.990703
23.475 0.990733
23.505 0.990761
23.535 0.99079
23.565 0.990818
23.595 0.990845
23.625 0.990873
23.655 0.9909
23.685 0.990926
23.715 0.990952
23.745 0.990978
23.775 0.991003
23.805 0.991028
23.835 0.991053
23.865 0.991078
23.895 0.991102
23.925 0.991126
23.955 0.991149
23.985 0.991173
24.015 0.991196
24.045 0.991219
24.075 0.991241
24.105 0.991264
24.135 0.991286
24.165 0.991308
24.195 0.99133
24.225 0.991351
24.255 0.991373
24.285 0.991394
24.315 0.991415
24.345 0.991437
24.375 0.991457
24.405 0.991478
24.435 0.991499
24.465 0.99152
24.495 0.99154
24.525 0.99156
24.555 0.991581
24.585 0.991601
24.615 0.991622
24.645 0.991642
24.675 0.991662
24.705 0.991682
24.735 0.991702
24.765 0.991723
24.795 0.991743
24.825 0.991763
24.855 0.991784
24.885 0.991804
24.915 0.991825
24.945 0.991845
24.975 0.991866
25.005 0.991886
25.035 0.991907
25.065 0.991928
25.095 0.991949
25.125 0.99197
25.155 0.991992
25.185 0.992013
25.215 0.992035
25.245 0.992057
25.275 0.992079
25.305 0.992101
25.335 0.992124
25.365 0.992146
25.395 0.992169
25.425 0.992193
25.455 0.992216
25.485 0.99224
25.515 0.992264
25.545 0.992288
25.575 0.992312
25.605 0.992337
25.635 0.992363
25.665 0.992388
25.695 0.992414
25.725 0.99244
25.755 0.992467
25.785 0.992494
25.815 0.992521
25.845 0.992549
25.875 0.992577
25.905 0.992605
25.935 0.992634
25.965 0.992664
25.995 0.992693
26.025 0.992724
26.055 0.992754
26.085 0.992786
26.115 0.992817
26.145 0.992849
26.175 0.992882
26.205 0.992915
26.235 0.992949
26.265 0.992983
26.295 0.993018
26.325 0.993054
26.355 0.99309
26.385 0.993126
26.415 0.993163
26.445 0.993201
26.475 0.99324
26.505 0.993279
26.535 0.993318
26.565 0.993358
26.595 0.993399
26.625 0.993441
26.655 0.993483
26.685 0.993526
26.715 0.99357
26.745 0.993614
26.775 0.993659
26.805 0.993705
26.835 0.993752
26.865 0.993799
26.895 0.993847
26.925 0.993896
26.955 0.993946
26.985 0.993996
27.015 0.994047
27.045 0.994099
27.075 0.994152
27.105 0.994206
27.135 0.99426
27.165 0.994316
27.195 0.994372
27.225 0.994429
27.255 0.994487
27.285 0.994546
27.315 0.994606
27.345 0.994667
27.375 0.994728
27.405 0.994791
27.435 0.994854
27.465 0.994919
27.495 0.994984
27.525 0.995051
27.555 0.995118
27.585 0.995187
27.615 0.995256
27.645 0.995327
27.675 0.995398
27.705 0.995471
27.735 0.995545
